task,metric,locked_system,baseline
Regression,MAPE,0.07259047272171158,0.13113354398472624
Regression,Cheapest-flight regret (VND),50001.83846692335,139640.92107105354
Regression,R-squared,0.8522616340992507,0.6064040742482045
Classification,Brier score,0.10418339310776674,0.11729347239784052
Classification,Decision regret (VND),29389.796146349967,42000.91700074475
Classification,Log loss,0.36266286799423025,0.39774442413614647
Classification,Average precision,0.23627807872328613,0.13882295122838617
