withheld_dud,rows,clusters,interpolation_mape,nearest_mape,mape_skill_vs_nearest,skill_ci_low,skill_ci_high
45,32205,22225,0.08859482489239022,0.12869937668765444,0.3116141882535727,0.30240791546298745,0.3205646103502199
30,35175,23513,0.0861499464478639,0.10470985332997675,0.17725081539006837,0.16900752685231143,0.18572261243403274
21,38565,24311,0.08085551619016039,0.10145800474168803,0.20306419985275248,0.19459893932501526,0.21145867467570156
14,44744,28459,0.07161374543328129,0.07997090939667,0.10450255007024711,0.09650513910302667,0.11217658268679813
10,45924,27995,0.06627995244843582,0.07624981172334798,0.13075257564025367,0.1217642647514793,0.13938474526728292
7,46960,28506,0.06109578405105589,0.07082695451970829,0.13739360296713887,0.12942447000400872,0.14528997418797063
5,46078,27958,0.06411398628479467,0.08425283736658647,0.2390287580959094,0.23078039275639864,0.24704300902446907
3,45226,27544,0.06231006664506571,0.07216506496926378,0.1365618991460129,0.12969054193664808,0.14308391358870176
2,40864,26269,0.08127079295496713,0.14153524175559573,0.42579111783829615,0.42116176651459397,0.4304246012966567
