metric,block_id,date,delta
policy_regret,TEST_1,2026-08-04,-1614.881503609659
policy_regret,TEST_1,2026-08-05,0.0
policy_regret,TEST_1,2026-08-06,0.0
policy_regret,TEST_1,2026-08-07,0.0
policy_regret,TEST_2,2026-08-09,-908.3644972451791
policy_regret,TEST_2,2026-08-10,-882.6322930800543
policy_regret,TEST_2,2026-08-11,1689.4394332468569
policy_regret,TEST_2,2026-08-12,3612.3442367601247
policy_regret,TEST_2,2026-08-13,-949.3641073951954
policy_regret,TEST_2,2026-08-14,-5308.545034642032
policy_regret,TEST_2,2026-08-15,-6989.846517119245
policy_regret,TEST_2,2026-08-16,18.16051552431166
policy_regret,TEST_2,2026-08-17,0.0
policy_regret,TEST_2,2026-08-18,0.0
