task,metric,model,baseline
CLASSIFICATION,proper_score,0.49188401398254744,0.5921016339636443
POINT,mape,0.0709090263864857,0.1377069109087403
DISTRIBUTION,wis,0.0612119326044597,0.09385004929549727
RANKING,ndcg5,0.8207678596494696,0.6594239638986037
BUY_WAIT,mean_regret_vnd,29695.454424921463,30419.951373045544
